code,channel,fm,status,group,conv_factor
0,E1,21,1,eeg,25746285.72
1,Pz,14,1,eeg,25746285.72
2,Fp1,0,1,eeg,25746285.72
3,T6,16,1,eeg,25746285.72
4,F7,2,1,eeg,25746285.72
5,O2,19,1,eeg,25746285.72
6,Fz,4,1,eeg,25746285.72
7,F8,6,1,eeg,25746285.72
8,A1,20,1,eeg,25746285.72
9,F3,3,1,eeg,25746285.72
10,C4,10,1,eeg,25746285.72
11,T5,12,1,eeg,25746285.72
12,P4,15,1,eeg,25746285.72
13,Fp2,1,1,eeg,25746285.72
14,Oz,18,1,eeg,25746285.72
15,O1,17,1,eeg,25746285.72
16,T3,7,1,eeg,25746285.72
17,A2,22,1,eeg,25746285.72
18,C3,8,1,eeg,25746285.72
19,Cz,9,1,eeg,25746285.72
20,F4,5,1,eeg,25746285.72
21,T4,11,1,eeg,25746285.72
22,P3,13,1,eeg,25746285.72
